IIS3DWB 3-axis accelerometer by STM32
Configuration: FIFO continuous mode WTM = 20 Sensibility = +-4g
Timestamp resolution = 12.5us/LSB accel resolution 0.122mg/LSB

Timestamp(us) accelX(mg) accelY(mg) accelZ(mg)
89209.65462 435 -640 7687 
89364.52481 514 -617 7820 
89519.39501 361 -799 8145 
89674.2652 538 -802 7887 
89829.1354 666 -754 7891 
89984.0056 342 -821 7842 
90138.87579 440 -643 7769 
90293.74599 530 -751 7879 
90448.61618 440 -755 7769 
90603.48638 428 -762 8008 
90758.35657 470 -736 7781 
90913.22677 556 -673 7902 
91068.09697 470 -658 7842 
91222.96716 327 -725 8006 
91377.83736 511 -725 7801 
91532.70755 357 -677 7877 
91687.57775 485 -677 7987 
91842.44794 425 -777 7846 
91997.31814 477 -644 7641 
92152.18834 342 -755 7998 
92307.05853 556 -692 7854 
92461.92873 556 -673 7902 
92616.79892 537 -788 7952 
92771.66912 386 -877 8055 
92926.53932 638 -599 7812 
93081.40951 514 -762 7972 
93236.27971 469 -728 8048 
93391.1499 665 -510 7759 
93546.0201 495 -721 7762 
93700.89029 522 -766 7846 
93855.76049 469 -695 7854 
94010.63069 548 -762 7956 
94165.50088 519 -658 7786 
94320.37108 364 -917 7968 
94475.24127 590 -610 8059 
94630.11147 312 -699 7877 
94784.98166 621 -788 7808 
94939.85186 361 -610 7918 
95094.72206 556 -773 7926 
95249.59225 564 -758 7766 
95404.46245 462 -677 7850 
95559.33264 548 -762 7956 
95714.20284 613 -577 7652 
95869.07303 425 -836 7888 
96023.94323 545 -643 7850 
96178.81343 436 -710 7968 
96333.68362 628 -673 7755 
96488.55382 470 -706 7903 
96643.42401 492 -695 7820 
96798.29421 515 -792 7896 
96953.1644 481 -725 7926 
97108.0346 548 -762 7956 
97262.9048 450 -666 7831 
97417.77499 458 -644 7850 
97572.64519 412 -866 7812 
97727.51538 540 -677 7793 
97882.38558 435 -777 7797 
98037.25577 398 -773 8051 
98192.12597 661 -706 7790 
98346.99617 424 -562 7915 
98501.86636 537 -669 7884 
98656.73656 469 -669 7941 
98811.60675 530 -706 7782 
98966.47695 470 -736 7899 
99121.34714 583 -588 7804 
99276.21734 285 -803 7979 
99431.08754 590 -573 7843 
99585.95773 379 -806 7892 
99740.82793 485 -725 7725 
